"","sentimento","term","count"
"1","text1","governador",1
"2","text3","governador",1
"3","text5","governador",1
"4","text6","governador",1
"5","text7","governador",1
"6","text8","governador",1
"7","text9","governador",1
"8","text10","governador",3
"9","text11","governador",1
"10","text14","governador",2
"11","text15","governador",3
"12","text16","governador",1
"13","text18","governador",1
"14","text19","governador",3
"15","text20","governador",1
"16","text21","governador",1
"17","text22","governador",2
"18","text25","governador",1
"19","text26","governador",1
"20","text27","governador",1
"21","text29","governador",1
"22","text30","governador",2
"23","text31","governador",1
"24","text32","governador",2
"25","text33","governador",1
"26","text35","governador",1
"27","text36","governador",1
"28","text37","governador",1
"29","text39","governador",3
"30","text43","governador",1
"31","text44","governador",1
"32","text47","governador",1
"33","text51","governador",1
"34","text52","governador",2
"35","text53","governador",2
"36","text55","governador",1
"37","text56","governador",1
"38","text60","governador",1
"39","text62","governador",1
"40","text65","governador",1
"41","text66","governador",1
"42","text67","governador",1
"43","text68","governador",1
"44","text70","governador",1
"45","text72","governador",1
"46","text73","governador",1
"47","text74","governador",1
"48","text75","governador",1
"49","text76","governador",1
"50","text79","governador",1
"51","text80","governador",2
"52","text81","governador",1
"53","text85","governador",1
"54","text87","governador",2
"55","text88","governador",1
"56","text89","governador",1
"57","text90","governador",1
"58","text93","governador",1
"59","text95","governador",1
"60","text96","governador",2
"61","text98","governador",1
"62","text99","governador",1
"63","text105","governador",1
"64","text107","governador",1
"65","text113","governador",1
"66","text137","governador",1
"67","text138","governador",1
"68","text142","governador",1
"69","text148","governador",1
"70","text153","governador",1
"71","text156","governador",3
"72","text157","governador",3
"73","text180","governador",1
"74","text186","governador",1
"75","text1","porque",1
"76","text30","porque",1
"77","text63","porque",1
"78","text1","convocar",1
"79","text13","convocar",1
"80","text29","convocar",1
"81","text37","convocar",1
"82","text91","convocar",1
"83","text110","convocar",1
"84","text1","aposentado",1
"85","text1","dar",1
"86","text10","dar",1
"87","text20","dar",2
"88","text41","dar",2
"89","text53","dar",1
"90","text82","dar",1
"91","text149","dar",1
"92","text157","dar",1
"93","text1","oportunidade",1
"94","text18","oportunidade",1
"95","text24","oportunidade",1
"96","text26","oportunidade",1
"97","text29","oportunidade",1
"98","text31","oportunidade",1
"99","text35","oportunidade",1
"100","text43","oportunidade",1
"101","text91","oportunidade",1
"102","text146","oportunidade",1
"103","text149","oportunidade",1
"104","text1","novos",1
"105","text9","novos",1
"106","text10","novos",1
"107","text37","novos",1
"108","text39","novos",1
"109","text51","novos",1
"110","text55","novos",1
"111","text75","novos",1
"112","text93","novos",1
"113","text98","novos",1
"114","text99","novos",1
"115","text153","novos",1
"116","text157","novos",1
"117","text186","novos",1
"118","text2","homem",1
"119","text5","homem",1
"120","text2","trabalhar",1
"121","text85","trabalhar",2
"122","text180","trabalhar",2
"123","text2","parabéns",1
"124","text8","parabéns",1
"125","text27","parabéns",1
"126","text59","parabéns",1
"127","text67","parabéns",1
"128","text89","parabéns",1
"129","text2","valeu",1
"130","text2","rui",1
"131","text7","rui",1
"132","text8","rui",1
"133","text10","rui",1
"134","text20","rui",1
"135","text21","rui",1
"136","text28","rui",1
"137","text29","rui",1
"138","text30","rui",1
"139","text37","rui",3
"140","text43","rui",1
"141","text48","rui",1
"142","text51","rui",1
"143","text57","rui",2
"144","text63","rui",1
"145","text64","rui",1
"146","text76","rui",1
"147","text77","rui",1
"148","text81","rui",1
"149","text88","rui",1
"150","text96","rui",1
"151","text121","rui",1
"152","text124","rui",1
"153","text130","rui",1
"154","text133","rui",1
"155","text149","rui",1
"156","text157","rui",1
"157","text2","tamos",1
"158","text2","juntos",1
"159","text43","juntos",1
"160","text70","juntos",1
"161","text3","edital",1
"162","text6","edital",1
"163","text8","edital",1
"164","text17","edital",2
"165","text19","edital",1
"166","text33","edital",1
"167","text62","edital",1
"168","text66","edital",1
"169","text70","edital",1
"170","text73","edital",1
"171","text94","edital",2
"172","text97","edital",2
"173","text111","edital",1
"174","text156","edital",1
"175","text3","magistério",1
"176","text3","vai",1
"177","text11","vai",1
"178","text12","vai",1
"179","text13","vai",1
"180","text14","vai",2
"181","text16","vai",2
"182","text25","vai",2
"183","text32","vai",1
"184","text38","vai",1
"185","text47","vai",1
"186","text49","vai",1
